oai:ecommons.cornell.edu:1813/2927,BREATHE AND BENDING LIGHT:TWO CHAMBER ORCHESTRA WORKS,,,application/pdf,Musical Score
oai:ecommons.cornell.edu:1813/29061,A surprise : characteristic dance / by Howard Vincent.,An advertisement for Howard Vincent's piano tuning and repair business; includes an original composition.,5 p. of music ; 35 cm; Publication date from catalog record is c1903.,,Musical Score
oai:ecommons.cornell.edu:1813/29063,"Rondeau, pour le violin avec accompagnement d’un second violon, alto et violoncelle. Oeuvre 11.","Parts for Voříšek's Rondeau, Op. 11.",4 parts ; 31 cm.; Plate number 1308. Publication date from catalog record is [182-],,Musical Score
