oai:ecommons.cornell.edu:1813/29757,"Jubilee papers of the Central China Presbyterian Mission, 1844-1894: Comprising historical sketches of the mission stations at Ningpo, Shanghai, Hangchow, Soochow and Nanking, with a sketch of the Presbyterian mission press",Introduction signed: J.C. Garritt. Essays by various authors.,In volume lettered: China and the Chinese. Pamphlets. Volume 32.,,Pamphlets
oai:ecommons.cornell.edu:1813/29758,Young Men's Christian Associations and foreign missions,,In volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 37.,,Pamphlets
oai:ecommons.cornell.edu:1813/29759,"The Rev. William C. Burns, missionary to China",,Religious Tract Society Biographical Series No. 1025. In volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 37.,,Pamphlets
oai:ecommons.cornell.edu:1813/29760,Missionary operations in China,,In volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 37.,,Pamphlets
oai:ecommons.cornell.edu:1813/29761,"The reign of terror in the western hills, or stories of the persecution of Chinese Christians in Shansi in 1900",,Reprinted from the 'Shanghai Mercury'. In volume lettered: China and the Chinese. Pamphlets. Volume 41.,,Pamphlets
oai:ecommons.cornell.edu:1813/29762,"Thrilling experiences of C.I.M. missionaries in Chihli, by Mr & Mrs Green",,Reprinted from the 'Shanghai Mercury'. In volume lettered: China and the Chinese. Pamphlets. Volume 41.,,Pamphlets
oai:ecommons.cornell.edu:1813/29763,"Narrative of massacres in Shansi, July, 1900, by the Rev R.C. Forsyth, with introduction by E.H. Edward and Rev Timothy Richard",,Reprinted from the 'North China Daily News'. In volume lettered: China and the Chinese. Pamphlets. Volume 41.,,Pamphlets
oai:ecommons.cornell.edu:1813/29764,Further news of the massacres in Shansi,,Introduction by E.H. Edwards. Reprinted from the 'Shanghai Mercury'. In volume lettered: China and the Chinese. Pamphlets. Volume 41.,,Pamphlets
oai:ecommons.cornell.edu:1813/29765,Nestorius and the Nestorian mission in China,,In volume lettered: China and the Chinese. Pamphlets. Volume 43.,,Pamphlets
oai:ecommons.cornell.edu:1813/29766,"Particulars concerning the last hours of the missionaries massacred at Taiku, Shansi, on 31st July, 1900",,Reprinted from the 'Shanghai Mercury'. In volume lettered: China and the Chinese. Pamphlets. Volume 43.,,Pamphlets
oai:ecommons.cornell.edu:1813/29767,"The story of the persecution of the church at Sheo-yang-hsien, Shansi, and of the last days of Mr and Mrs Pigott and family, as told by Li-pai, the shepherd",,Reprinted from the 'Shanghai Mercury'. In volume lettered: China and the Chinese. Pamphlets. Volume 43.,,Pamphlets
oai:ecommons.cornell.edu:1813/29768,"Missionary characteristics, by Observer",,Reprinted from the 'Shanghai Mercury'. In volume lettered: China and the Chinese. Pamphlets. Volume 44.,,Pamphlets
